Ensembl_Gene_ID	E.t1.I	E.t1.II	E.t1.III	E.t4.I	E.t4.II	E.t4.III	E.t6.I	E.t6.II	E.t6.III	E.t8.I	E.t8.II	E.t8.III
ENSG00000006118	173	162	148	350	55	337	517	588	498	511	535	881
ENSG00000006125	120	34	204	65	109	8	545	340	162	168	88	406
ENSG00000006128	31	33	37	80	81	217	364	277	272	622	313	158
ENSG00000006194	176	129	15	61	52	216	591	419	277	544	421	124
ENSG00000006210	84	103	185	333	81	30	522	217	22	100	667	639
ENSG00000006282	10	147	121	251	191	416	434	168	423	210	68	350
ENSG00000006283	87	190	204	284	282	258	421	356	9	548	102	403
ENSG00000006327	170	189	182	345	254	134	156	431	191	230	17	70
ENSG00000006377	135	63	60	178	220	329	271	497	559	590	327	222
ENSG00000006432	128	80	217	85	170	228	350	38	562	196	15	751
ENSG00000006451	95	107	8	169	5	47	543	469	367	443	195	324
ENSG00000006453	108	101	28	55	58	374	390	372	451	271	302	787
ENSG00000006459	58	106	33	310	290	279	96	356	13	315	643	248
ENSG00000006468	148	186	112	359	349	251	466	170	462	135	279	353
ENSG00000006530	114	137	44	143	125	434	595	213	9	539	111	829
ENSG00000006534	75	197	120	107	285	40	580	59	632	548	86	591
ENSG00000006555	154	173	93	324	351	113	486	570	300	69	507	536
ENSG00000006576	74	139	158	80	177	90	193	13	175	609	256	671
ENSG00000006606	10	116	106	133	2	23	193	503	55	2	154	593
ENSG00000006607	30	145	190	191	185	156	81	181	61	420	469	492
ENSG00000006611	30	69	196	161	20	245	133	114	228	167	338	388
ENSG00000006634	68	162	169	5	322	185	590	601	256	479	436	763
ENSG00000006652	52	33	157	326	393	219	45	200	596	80	603	113
ENSG00000006659	65	146	159	205	6	430	331	49	283	415	729	446
ENSG00000006695	78	93	0	318	59	315	318	146	53	657	38	78
ENSG00000006704	93	124	35	106	58	18	166	459	545	300	662	175
ENSG00000006712	54	24	97	339	318	167	17	225	98	467	151	473
ENSG00000006715	107	86	117	53	251	393	310	534	227	153	498	708
ENSG00000006740	119	75	167	243	257	250	381	338	403	396	622	118
ENSG00000006744	176	128	79	290	319	54	265	618	632	561	116	324
ENSG00000006747	0	7	160	269	124	29	515	137	361	562	704	247
ENSG00000006756	56	95	177	39	214	332	159	138	129	556	308	382
ENSG00000006757	167	126	157	89	77	60	470	422	531	302	375	375
ENSG00000006788	134	188	12	82	45	344	411	87	102	395	0	69
ENSG00000006831	66	154	188	48	99	223	207	498	285	353	174	720
ENSG00000006837	130	81	173	43	209	314	478	122	339	441	298	582
ENSG00000007001	130	159	23	121	330	145	6	376	607	315	651	871
ENSG00000007038	176	191	96	303	322	381	101	288	596	614	559	121
ENSG00000007047	24	183	118	7	93	390	396	135	587	618	189	884
ENSG00000007062	107	17	95	315	380	77	133	107	34	409	184	858
ENSG00000007080	35	111	163	62	9	147	17	406	274	632	62	707
ENSG00000007129	29	15	44	306	222	299	273	176	611	693	372	788
ENSG00000007168	54	58	210	152	379	301	349	597	212	109	573	884
ENSG00000007171	92	166	206	235	318	434	43	170	444	681	296	562
ENSG00000007174	162	168	101	68	323	98	592	422	548	601	670	210
ENSG00000007202	104	195	119	202	183	231	158	300	53	327	624	614
ENSG00000007216	122	39	78	353	385	390	61	561	76	190	5	542
ENSG00000007237	23	148	220	56	262	170	289	473	366	98	21	323
ENSG00000007255	100	24	63	39	395	339	87	278	284	514	217	598
ENSG00000007264	111	113	218	195	25	416	568	449	22	143	651	507
ENSG00000007306	107	150	92	297	189	51	539	188	270	258	673	730
ENSG00000007312	146	171	115	196	311	65	37	478	339	498	595	656
ENSG00000007314	168	156	77	177	371	8	398	61	6	421	580	580
ENSG00000007341	108	146	78	354	373	118	364	239	209	48	659	563
ENSG00000007350	31	49	120	348	344	337	84	348	180	350	244	57
ENSG00000007372	85	36	119	77	141	364	259	178	577	491	422	148
ENSG00000007376	160	22	46	368	96	236	426	259	576	177	331	446
ENSG00000007384	155	128	91	116	232	70	273	51	66	554	600	799
ENSG00000007392	175	182	12	265	396	345	71	322	131	376	216	569
ENSG00000007402	163	176	195	360	391	181	250	550	654	47	497	569
ENSG00000007516	150	25	71	165	263	196	100	569	389	193	365	82
ENSG00000007541	140	23	4	231	118	376	355	164	31	532	255	681
ENSG00000007545	14	90	71	159	59	209	211	252	586	444	366	310
ENSG00000007866	0	71	98	92	277	225	112	510	353	565	662	222
ENSG00000007908	14	61	215	71	389	282	157	129	168	192	234	442
ENSG00000007923	85	135	203	36	344	244	149	376	513	641	97	855
ENSG00000007933	12	152	54	235	355	108	405	250	657	623	171	627
ENSG00000007944	163	38	201	166	115	268	172	202	84	350	361	13
ENSG00000007952	80	106	73	339	152	418	11	66	328	520	260	65
ENSG00000007968	28	6	191	380	274	81	96	347	535	530	608	405
ENSG00000008018	105	16	106	126	323	395	599	173	14	177	439	130
ENSG00000008056	171	139	94	62	135	108	156	350	219	396	662	475
ENSG00000008083	25	170	123	46	116	401	227	477	121	293	466	690
ENSG00000008086	96	108	48	354	8	272	378	366	464	277	434	876
ENSG00000008118	19	34	102	19	105	172	27	401	169	212	393	416
ENSG00000008196	140	179	128	135	291	28	279	610	535	541	442	488
ENSG00000008197	21	49	144	332	245	198	401	122	569	321	165	156
ENSG00000008226	122	156	181	378	400	93	70	468	485	33	537	323
ENSG00000008256	179	198	79	282	52	117	337	492	485	127	612	702
ENSG00000008277	93	92	178	259	235	159	307	148	120	542	511	282
ENSG00000008282	81	192	197	41	87	355	441	239	87	400	317	543
ENSG00000008283	19	188	113	134	63	132	507	80	238	515	567	200
ENSG00000008294	161	136	60	81	250	124	591	404	235	661	84	65
ENSG00000008300	115	51	167	199	74	59	503	577	535	299	279	280
ENSG00000008311	122	12	192	33	212	428	242	86	160	291	361	816
ENSG00000008323	78	91	163	117	96	69	24	568	364	616	407	642
ENSG00000008324	88	33	43	66	250	135	222	50	468	200	172	500
ENSG00000008382	165	82	17	202	330	240	340	152	370	312	318	124
ENSG00000008394	18	7	30	112	285	261	445	503	602	469	633	316
ENSG00000008405	77	109	204	261	121	29	218	572	588	162	471	596
ENSG00000008438	66	153	216	76	155	191	120	210	36	68	671	701
ENSG00000008441	40	113	48	170	9	327	547	169	365	635	206	562
ENSG00000008513	54	140	63	374	110	24	283	151	533	453	379	800
ENSG00000008516	15	141	129	277	387	402	270	231	137	260	641	823
ENSG00000008517	129	131	12	45	262	298	27	142	138	612	16	827
ENSG00000008710	111	22	94	59	331	28	448	449	446	360	463	400
ENSG00000008735	102	43	107	156	12	368	321	377	537	535	676	861
ENSG00000008838	60	200	17	143	388	223	33	339	505	310	206	522
ENSG00000008853	121	25	188	135	83	244	369	83	295	514	681	684
ENSG00000008869	103	178	31	151	354	240	260	19	230	661	364	232
ENSG00000008952	114	195	7	161	365	204	193	448	166	612	557	23
ENSG00000008988	98	69	164	284	135	216	159	491	651	242	354	19
ENSG00000009307	118	134	196	162	166	111	138	494	655	554	663	7
ENSG00000009335	131	49	122	231	219	24	61	597	539	346	66	34
ENSG00000009413	160	57	201	169	228	51	223	36	240	395	626	418
ENSG00000009694	112	66	136	191	64	73	359	22	601	629	268	25
ENSG00000009709	35	66	26	306	213	287	376	546	181	360	286	330
ENSG00000009724	176	156	184	90	137	38	542	52	428	217	301	740
ENSG00000009765	129	14	105	124	56	244	123	313	42	208	358	410
ENSG00000009780	54	69	6	305	10	405	459	354	26	102	147	650
ENSG00000009790	26	104	61	366	164	12	372	38	254	138	519	294
ENSG00000009830	63	0	101	168	114	206	49	553	509	205	284	434
ENSG00000009844	5	49	156	299	200	38	207	129	521	295	258	641
ENSG00000009950	48	72	22	171	195	44	407	269	419	350	18	145
ENSG00000009954	21	39	67	328	140	201	597	433	233	176	689	635
ENSG00000010017	5	191	116	236	200	107	451	268	203	162	214	868
ENSG00000010030	179	160	52	208	229	248	542	253	595	682	464	458
ENSG00000010072	151	22	131	60	188	333	57	439	180	64	344	509
ENSG00000010165	25	22	39	243	395	287	144	287	576	159	355	321
ENSG00000010219	168	85	130	233	258	321	200	130	384	283	78	543
ENSG00000010244	7	47	175	343	111	418	342	107	645	622	301	771
ENSG00000010256	13	40	57	23	290	196	91	26	510	597	364	873
ENSG00000010270	98	144	145	296	330	289	597	300	513	227	368	803
ENSG00000010278	92	46	187	372	320	435	340	324	659	698	54	421
ENSG00000010292	93	9	183	44	202	349	553	467	206	536	603	333
ENSG00000010295	90	109	123	352	223	133	261	577	283	215	675	688
ENSG00000010310	22	196	71	121	38	313	155	347	464	568	705	507
ENSG00000010318	98	57	12	215	74	138	78	304	497	149	697	752
ENSG00000010319	42	128	27	302	105	246	516	482	41	452	385	158
ENSG00000010322	135	0	81	369	259	145	48	376	106	475	127	154
ENSG00000010327	121	60	142	44	189	301	118	538	140	330	149	660
ENSG00000010361	59	180	58	167	348	374	166	123	366	388	529	760
ENSG00000010379	127	13	168	360	186	364	265	374	42	226	726	797
ENSG00000010404	179	111	103	164	85	206	11	391	503	655	313	562
ENSG00000010438	69	155	64	378	192	122	24	569	421	510	308	668
ENSG00000010539	10	49	28	251	105	53	194	244	212	246	739	87
ENSG00000010610	20	160	75	66	226	263	285	376	536	214	265	341
ENSG00000010626	177	96	116	339	223	225	306	231	361	36	675	806
ENSG00000010671	32	121	3	319	386	183	473	74	344	162	640	752
ENSG00000010704	108	149	43	99	243	100	461	172	131	590	598	500
ENSG00000010803	12	35	159	377	385	290	133	605	404	235	21	197
ENSG00000010810	176	101	126	251	153	113	338	570	434	128	249	855
ENSG00000010818	22	117	5	132	144	269	193	16	492	561	296	719
ENSG00000010932	101	18	178	129	330	99	239	40	352	361	95	69
ENSG00000011007	166	30	96	240	235	2	180	170	311	142	367	536
ENSG00000011009	175	37	171	64	170	41	504	521	341	628	362	210
ENSG00000011021	174	2	81	258	169	116	192	38	515	697	190	519
ENSG00000011028	5	97	28	234	24	178	479	123	472	101	637	619
ENSG00000011083	13	150	135	68	304	205	375	436	165	246	22	455
ENSG00000011105	100	69	58	125	40	427	588	9	225	511	656	305
ENSG00000011114	48	101	167	28	25	396	372	130	367	357	482	281
ENSG00000011143	27	193	103	110	80	331	182	375	213	621	24	605
ENSG00000011198	39	87	217	348	270	386	86	474	618	492	128	36
ENSG00000011201	126	51	10	189	150	287	429	298	308	449	205	513
ENSG00000011243	4	60	41	270	370	2	385	361	572	666	565	243
ENSG00000011258	118	65	107	137	243	369	416	582	537	418	382	438
ENSG00000011260	39	170	186	316	398	394	137	461	644	576	424	528
ENSG00000011275	58	120	129	110	212	40	553	356	10	563	356	66
ENSG00000011295	28	134	94	306	361	418	417	239	243	364	522	805
ENSG00000011304	124	96	28	42	276	207	115	571	642	422	452	304
ENSG00000011332	44	93	80	184	178	342	351	590	431	239	502	825
ENSG00000011347	134	105	179	120	104	70	339	166	265	444	297	788
ENSG00000011376	74	188	164	173	79	309	183	534	563	376	239	323
ENSG00000011405	48	16	200	48	91	351	226	620	471	360	565	9
ENSG00000011422	89	77	217	136	328	204	302	451	172	244	594	7
ENSG00000011426	22	153	187	10	23	351	189	559	363	524	494	432
ENSG00000011451	85	94	71	346	345	207	366	326	413	5	35	417
ENSG00000011454	83	60	138	69	24	118	460	592	380	250	611	126
ENSG00000011465	104	195	145	321	385	153	554	594	148	110	436	152
ENSG00000011478	101	40	179	181	61	417	12	210	357	221	350	47
ENSG00000011485	118	32	211	137	182	399	466	341	545	221	124	532
ENSG00000011523	32	183	40	348	243	79	97	270	62	553	492	427
ENSG00000011566	103	196	188	55	374	326	494	257	136	375	445	360
ENSG00000011590	97	37	201	200	342	318	39	447	327	513	616	253
ENSG00000011600	20	137	71	174	65	167	390	138	145	205	420	859
ENSG00000011638	102	163	11	184	149	251	249	444	423	642	662	312
ENSG00000011677	136	88	200	60	330	14	37	203	595	337	443	637
ENSG00000012048	49	157	187	117	138	297	238	229	630	268	448	836
ENSG00000012061	95	164	163	19	365	146	485	28	386	597	335	433
ENSG00000012124	11	176	21	53	12	391	253	262	329	672	255	325
ENSG00000012174	157	156	114	317	312	137	13	223	557	138	453	479
ENSG00000012211	111	64	70	14	344	293	174	525	291	563	553	428
ENSG00000012223	123	75	34	71	17	332	391	533	145	442	429	275
ENSG00000012232	23	75	113	248	269	186	394	117	575	344	616	605
ENSG00000012504	157	133	175	172	127	197	71	601	105	592	338	366
ENSG00000012660	103	165	197	61	76	359	451	86	17	335	130	715
ENSG00000012779	11	35	5	229	189	371	266	294	178	161	720	697
ENSG00000012817	40	136	152	177	392	393	145	155	162	187	532	708
ENSG00000012822	43	73	165	227	202	23	559	461	387	361	545	405
ENSG00000012963	4	138	30	284	291	153	297	316	206	443	428	345
ENSG00000012983	107	92	220	144	362	403	12	470	512	671	581	56
ENSG00000013016	30	111	169	210	8	344	162	173	234	631	656	301
ENSG00000013275	54	90	158	14	23	369	431	556	414	633	616	678
ENSG00000013288	149	12	81	33	295	432	339	88	201	284	111	377
ENSG00000013293	92	8	18	238	178	341	242	119	325	446	16	380
ENSG00000013297	146	195	14	24	353	33	256	52	42	508	89	600
ENSG00000013306	37	111	70	277	90	168	414	582	66	488	82	659
ENSG00000013364	83	71	190	169	134	363	272	77	170	574	538	51
ENSG00000013374	113	157	67	294	360	175	543	18	525	252	349	95
ENSG00000013375	171	26	95	314	102	28	591	261	211	34	690	480
ENSG00000013392	29	15	75	377	232	338	256	400	201	212	118	522
ENSG00000013503	92	106	127	297	273	340	430	601	82	215	241	109
ENSG00000013523	106	178	107	73	42	227	436	615	298	276	626	856
ENSG00000013561	110	6	100	232	202	152	566	221	423	143	383	696
ENSG00000013563	68	18	119	133	128	299	170	526	62	341	558	357
ENSG00000013573	163	119	5	71	312	85	391	335	320	51	463	764
ENSG00000013583	137	6	29	23	67	242	57	310	337	621	115	191
ENSG00000013588	124	134	154	315	266	285	538	570	464	330	657	78
ENSG00000013619	67	176	137	112	142	108	391	497	112	120	435	129
ENSG00000013725	67	23	68	358	393	122	153	246	251	645	167	843
ENSG00000013810	114	87	104	46	29	177	142	515	314	484	599	516
ENSG00000014123	178	19	77	314	221	406	395	237	620	267	639	824
ENSG00000014138	102	94	206	50	59	12	53	126	439	418	149	152
ENSG00000014164	69	118	78	257	11	375	458	20	270	472	569	793
ENSG00000014216	96	173	78	319	28	346	559	244	610	644	678	867
ENSG00000014257	25	148	141	58	40	44	195	391	60	267	394	554
ENSG00000014641	46	36	109	362	330	12	345	132	422	647	611	730
ENSG00000014824	151	151	7	274	269	209	186	239	582	263	419	148
ENSG00000014914	107	46	30	303	391	116	390	568	80	176	493	483
ENSG00000014919	80	124	133	198	386	133	527	57	541	678	296	528
ENSG00000015133	154	7	7	203	88	194	43	60	88	254	120	152
ENSG00000015153	171	180	75	362	342	395	260	600	15	699	204	642
ENSG00000015171	86	138	220	29	177	440	175	44	389	63	675	817
ENSG00000015285	94	165	178	42	141	49	181	602	495	25	149	623
ENSG00000015413	45	34	178	164	56	392	75	282	593	365	384	652
ENSG00000015475	25	57	205	343	378	421	205	129	434	699	531	202
ENSG00000015479	128	192	184	81	268	109	499	51	477	415	451	682
ENSG00000015520	160	144	199	165	249	30	249	34	508	313	510	252
ENSG00000015532	75	134	78	179	44	33	160	295	450	478	282	357
ENSG00000015592	27	13	40	250	200	391	541	209	58	499	631	475
ENSG00000015676	66	189	151	181	55	422	444	446	639	232	232	813
ENSG00000016082	125	23	67	28	110	338	14	63	615	261	268	798
ENSG00000016391	160	21	9	352	237	18	190	316	8	493	6	41
ENSG00000016402	18	141	14	263	111	150	242	571	421	463	97	831
ENSG00000016490	72	135	174	181	68	209	491	398	442	311	554	155
ENSG00000016602	75	122	82	124	389	32	453	399	129	453	145	524
ENSG00000016864	161	95	59	335	286	31	2	208	475	516	539	739
ENSG00000017260	55	200	127	147	210	340	289	551	634	635	270	737
ENSG00000017373	1	44	215	153	375	154	225	401	197	546	153	509
ENSG00000017427	46	188	16	122	370	369	104	336	27	475	655	663
ENSG00000017483	172	190	21	124	221	423	162	244	220	218	323	195
ENSG00000017621	106	139	100	329	88	175	304	489	173	466	251	315
ENSG00000017797	135	21	203	339	339	430	560	444	325	553	688	680
ENSG00000018189	11	31	115	87	144	80	56	548	231	226	145	200
ENSG00000018236	149	69	3	14	69	177	455	368	35	487	625	157
ENSG00000018280	130	35	164	113	152	190	477	155	94	50	351	585
ENSG00000018408	51	91	193	174	304	45	46	43	237	656	255	95
ENSG00000018510	2	150	14	170	258	105	453	296	274	495	321	406
ENSG00000018610	33	188	109	169	89	117	198	156	243	289	408	288
ENSG00000018625	155	38	40	238	321	45	176	41	241	405	543	174
ENSG00000018699	113	103	118	87	295	394	159	332	540	658	678	252
ENSG00000018869	83	190	181	10	367	365	520	590	368	694	464	878
ENSG00000019102	68	135	105	67	359	270	227	216	645	59	644	160
ENSG00000019144	43	49	47	212	365	87	85	105	546	27	223	637
ENSG00000019169	113	14	135	249	237	106	17	520	202	431	31	793
ENSG00000019186	165	77	144	195	177	421	175	596	20	355	345	453
ENSG00000019485	83	144	125	262	142	402	267	529	89	170	247	590
ENSG00000019505	62	95	44	264	387	431	419	251	210	428	494	443
ENSG00000019549	59	174	176	373	211	226	494	310	122	376	12	721
ENSG00000019582	34	64	182	67	51	411	243	46	282	342	355	581
ENSG00000019991	150	14	109	312	400	440	104	509	595	285	518	673
ENSG00000019995	138	5	76	363	389	259	297	509	106	479	41	155
ENSG00000020129	29	34	21	319	170	156	474	379	175	445	435	523
ENSG00000020181	156	17	29	182	379	193	476	85	13	173	275	791
ENSG00000020219	4	43	10	265	40	365	334	577	604	29	714	370
ENSG00000020256	31	103	162	262	335	406	210	447	258	572	79	174
ENSG00000020426	154	8	51	52	142	87	387	353	183	210	650	263
ENSG00000020577	145	29	168	317	289	385	181	83	142	201	557	197
ENSG00000020922	51	84	54	87	348	286	592	417	445	427	301	398
ENSG00000021300	141	43	86	158	201	179	237	428	475	85	710	646
ENSG00000021355	93	124	151	192	377	43	350	400	239	312	443	258
ENSG00000021461	57	90	74	130	241	407	382	134	6	384	427	840
ENSG00000021488	148	83	15	326	313	105	586	341	341	264	497	610
ENSG00000021574	112	12	204	276	102	420	353	292	660	320	418	640
ENSG00000021645	27	103	50	370	388	376	530	81	381	681	402	199
ENSG00000021762	119	50	217	254	190	204	180	100	463	189	475	480
ENSG00000021776	83	161	190	153	145	324	514	569	231	149	252	629
ENSG00000021826	147	162	119	125	310	108	174	365	410	675	216	810
ENSG00000021852	38	128	74	341	185	260	527	548	133	533	289	493
ENSG00000022267	165	93	193	315	30	285	577	316	627	270	419	542
ENSG00000022277	84	49	44	39	359	427	273	268	554	378	586	183
ENSG00000022355	137	132	46	55	250	0	304	527	120	489	159	101
ENSG00000022556	123	38	130	195	27	143	386	320	69	191	622	533
ENSG00000022567	5	4	2	197	337	269	429	559	376	110	429	795
ENSG00000022840	40	29	64	22	262	112	113	391	446	585	538	777
ENSG00000022976	169	75	183	140	287	271	201	24	539	660	236	399
ENSG00000023041	3	15	25	258	285	191	8	564	596	336	55	308
ENSG00000023171	102	72	49	299	247	264	27	545	161	658	582	647
ENSG00000023191	155	21	29	34	380	8	96	263	115	13	29	617
ENSG00000023228	138	102	179	353	361	283	574	385	122	456	192	433
ENSG00000023287	103	23	18	257	372	120	138	492	306	106	148	409
ENSG00000023318	8	87	117	110	38	19	472	88	146	135	202	18
ENSG00000023330	91	113	133	136	102	298	92	530	456	352	253	61
ENSG00000023445	107	153	172	245	158	279	242	125	280	312	323	169
ENSG00000023516	18	88	191	46	178	239	518	398	539	440	153	360
